project,SA,description,NAME,quantity,VARL,EMUNT,VARW,EMUNT,VARX,EMUNT,VARY,EMUNT,VAR1,EMUNT,VAR2,EMUNT,VAR3,EMUNT,VAR4,EMUNT
talebi,2,‰„« “Ì—,"0,",1,VARL,1840,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,3,‰„« “Ì—,"0,",1,VARL,2140,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,488,VARW,918,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,»œ‰Â  —«”  ÌŒç«·,"BYR,",1,VARL,516,VARW,698,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,»œ‰Â çÅ ÌŒç«·,"BYL,",1,VARL,516,VARW,698,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6, «ﬁ »«·« ÌŒç«·,"TY,0",1,VARL,918,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,œ— ÂÊ«ÌÌ œÊ œ—,"DAR-W2,Q2H",2,VARL,514,VARW,469,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,ò› »«·« ÌŒç«·,"KY,0",1,VARL,918,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,418,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,»œ‰Â —«”  “„Ì‰Ì-L,"BZR-LF,E1M",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,444,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,œ” êÌ—Â L,"0,",1,VARL,450,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ÿ»ﬁÂ,"T,M",1,VARL,414,VARW,516,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,418,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ò› “„Ì‰Ì,"KZ,P4",1,VARL,450,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,»œ‰Â —«”  “„Ì‰Ì-L,"BZR-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,œ” êÌ—Â L,"0,",1,VARL,400,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,146,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,768,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,»œ‰Â —«” -L-H,"BZR-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,œ— “„Ì‰Ì œÊ œ—,"DZ2,Q2H",2,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,œ” êÌ—Â L,"0,",1,VARL,800,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,ÿ»ﬁÂ,"T,M",1,VARL,764,VARW,146,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,768,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,ò› “„Ì‰Ì,"KZ,P4",1,VARL,800,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,544,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,»œ‰Â çÅ,"BL,E1M",1,VARL,544,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,»œ‰Â —«”  “„Ì‰Ì-H,"BR-H,E1M",1,VARL,544,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,555,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,146,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,»œ‰Â çÅ “„Ì‰Ì-L,"BZL-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,»œ‰Â —«” -L-H,"BZR-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,œ” êÌ—Â L,"0,",1,VARL,400,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,456,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,768,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,»œ‰Â —«” -L-H,"BZR-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,œ— “„Ì‰Ì œÊ œ—,"DZ2,Q2H",2,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,œ” êÌ—Â L,"0,",1,VARL,800,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,ÿ»ﬁÂ,"T,M",1,VARL,764,VARW,456,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,768,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,ò› “„Ì‰Ì,"KZ,P4",1,VARL,800,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,544,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,»œ‰Â çÅ “„Ì‰Ì-H,"BL-H,E1M",1,VARL,544,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,»œ‰Â —«” ,"BR,E1M",1,VARL,544,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,555,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,456,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,13,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,828,VARW,428,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,»œ‰Â çÅ ÂÊ«ÌÌ-H,"BWL-H,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,»œ‰Â —«”  ÂÊ«ÌÌ,"BWR,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,428,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,œ— ÂÊ«ÌÌ,"DAR-W,Q2H",1,VARL,886,VARW,454,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,ÿ»ﬁÂ,"T,M",1,VARL,424,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,15,ò› ÂÊ«ÌÌ,"KW,",1,VARL,428,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,828,VARW,888,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,»œ‰Â çÅ ÂÊ«ÌÌ-H,"BWL-H,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,»œ‰Â —«”  ÂÊ«ÌÌ-H,"BWR-H,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,888,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,œ— ÂÊ«ÌÌ œÊ œ—,"DAR-W2,Q2H",2,VARL,886,VARW,454,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,ÿ»ﬁÂ,"T,S",1,VARL,884,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,16,ò› ÂÊ«ÌÌ,"KW,",1,VARL,888,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,828,VARW,428,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,»œ‰Â çÅ ÂÊ«ÌÌ,"BWL,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,»œ‰Â —«”  ÂÊ«ÌÌ-H,"BWR-H,E1M",1,VARL,856,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,428,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,œ— ÂÊ«ÌÌ,"DAR-W,Q2H",1,VARL,886,VARW,454,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,ÿ»ﬁÂ,"T,M",1,VARL,424,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,17,ò› ÂÊ«ÌÌ,"KW,",1,VARL,428,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,728,VARW,488,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,»œ‰Â çÅ ÂÊ«ÌÌ-H,"BWL-H,E1M",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,»œ‰Â —«”  ÂÊ«ÌÌ,"BWR,E1M",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,488,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,œ— ÂÊ«ÌÌ,"DAR-W,Q2H",1,VARL,786,VARW,514,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,ÿ»ﬁÂ,"T,M",1,VARL,484,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,18,ò› ÂÊ«ÌÌ,"KW,",1,VARL,488,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,728,VARW,1008,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,»œ‰Â çÅ ÂÊ«ÌÌ-H,"BWL-H,E1S",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,»œ‰Â —«”  ÂÊ«ÌÌ-H,"BWR-H,E1S",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,1008,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,œ— ÂÊ«ÌÌ œÊ œ—,"DAR-W2,Q2H",2,VARL,786,VARW,514,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,ÿ»ﬁÂ,"T,S",1,VARL,1004,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,19,ò› ÂÊ«ÌÌ,"KW,",1,VARL,1008,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,728,VARW,488,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,»œ‰Â çÅ ÂÊ«ÌÌ,"BWL,E1M",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,»œ‰Â —«”  ÂÊ«ÌÌ-H,"BWR-H,E1M",1,VARL,756,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20, «ﬁ ÂÊ«ÌÌ,"TW,",1,VARL,488,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,œ— ÂÊ«ÌÌ,"DAR-W,Q2H",1,VARL,786,VARW,514,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,ÿ»ﬁÂ,"T,M",1,VARL,484,VARW,296,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,20,ò› ÂÊ«ÌÌ,"KW,",1,VARL,488,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,717,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,16„Ì· ò„œ,"16mmK,",1,VARL,1463,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,»œ‰Â çÅ-U-H,"BZL-U,E1M",1,VARL,717,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,»œ‰Â —«”  “„Ì‰Ì-U,"BZR-U,E1M",1,VARL,717,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,»œ‰Â ò„œ çÅ-H,"BKL-H,E1M",1,VARL,1495,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,»œ‰Â ò„œ —«” ,"BKR,E1M",1,VARL,1495,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22, «ﬁ ò„œÌ,"TAQK,",1,VARL,498,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,524,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,œ— ò„œ,"DAR-K,Q2H",1,VARL,1506,VARW,524,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,ÿ»ﬁÂ,"T,M",1,VARL,494,VARW,250,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,ÿ»ﬁÂ,"T,M",3,VARL,490,VARW,250,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,498,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,ò› “„Ì‰Ì,"KZ,P4",1,VARL,530,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,22,ò› ò„œÌ,"KAFK,P4",1,VARL,498,VARW,298,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,23,«· ›«—”Ì>,"NA-F,L",1,VARL,788,VARW,58,VARX,62,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,23,‰„« ›«—”Ì>,"0,",1,VARL,786,VARW,370,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,24,«· ›«—”Ì>,"NA-F,L",1,VARL,852,VARW,58,VARX,62,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,24,‰„« ›«—”Ì>,"0,",1,VARL,850,VARW,100,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,25,ﬁÌœ ”Ê»·-$,#N/A,2,VARL,702,VARW,50,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,25,‰„« ”Ê»· ”«œÂ-$,#N/A,2,VARL,702,VARW,750,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,26,ﬁÌœ ”Ê»·-$,#N/A,4,VARL,750,VARW,80,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,26,ﬁÌœ ”Ê»·-$,#N/A,4,VARL,1610,VARW,80,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,26,‰„« ”Ê»·-$,#N/A,1,VARL,1770,VARW,750,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,»œ‰Â çÅ ”Ì‰ò-L,"BSL-LF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,»œ‰Â —«”  ”Ì‰ò-L,"BSR-LF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,Å‘  ”Ì‰ò,"P-SINK,",1,VARL,78,VARW,868,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,œ— “„Ì‰Ì œÊ œ—,"DZ2,Q2H",2,VARL,676,VARW,444,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,œ” êÌ—Â L,"0,",1,VARL,900,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,ﬁÌœ ”Ì‰ò,"Q-SINK,",2,VARL,868,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,27,ò› ”Ì‰ò,"K-SINK,P6",1,VARL,900,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,948,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,»œ‰Â çÅ ò‘Ê-LU,"BZKL-LUF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,»œ‰Â —«”  ò‘Ê-LU,"BZKR-LUF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,»€· ò‘Ê,"BAQKESHO,",2,VARL,500,VARW,83,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,»€· ò‘Ê,"BAQKESHO,",2,VARL,500,VARW,118,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
